ndc_clean,shape,colors,imprint,size_mm
49230064021,CAPSULE,"WHITE, BLUE",PhosLo;667mg,22
47781030701,CAPSULE,"YELLOW, WHITE",MACRODANTIN;50;mg;52427;287,16
00378320501,CAPSULE,"BLUE, BROWN",MYLAN;3205;MYLAN;3205,22
00187084401,CAPSULE,PURPLE,VALEANT;PF;0844,23
65162021211,CAPSULE,"PURPLE, WHITE",IP;212;IP;212,16
00002325130,CAPSULE,BROWN,Lilly;3251;100;mg,20
00002325030,CAPSULE,"WHITE, BROWN",Lilly;3250;80;mg,18
00002323930,CAPSULE,"BLUE, YELLOW",Lilly;3239;60;mg,18
00002322930,CAPSULE,BLUE,Lilly;3229;40;mg,16
00002322830,CAPSULE,"WHITE, BLUE",Lilly;3228;25;mg,16
00002323830,CAPSULE,"WHITE, YELLOW",Lilly;3238;18;mg,16
00186504031,CAPSULE,PURPLE,NEXIUM;40;mg,16
50458064765,CAPSULE,WHITE,TOP;15;mg,18
50474040001,CAPSULE,"PINK, WHITE",Theo;24;400;mg;ucb;2902,22
50474020001,CAPSULE,"RED, WHITE",Theo;24;200;mg;ucb;2842,19
00781205301,CAPSULE,PINK,GG;623;GG;623,16
16729004301,CAPSULE,PINK,TCR;5,14
16729004201,CAPSULE,WHITE,TCR;1,11
00004080085,CAPSULE,"GRAY, YELLOW",ROCHE;75;mg,18
10144060215,CAPSULE,BLUE,2;MG,16
10144060615,CAPSULE,BLUE,6;MG,18
64720032310,CAPSULE,"GREEN, TURQUOISE",cor;323;cor;323,14
10144060415,CAPSULE,"WHITE, BLUE",4;MG,16
68012010430,CAPSULE,"BLUE, WHITE",40,23
59762200301,CAPSULE,WHITE,G;2003;G;2003,16
59762200201,CAPSULE,BLUE,G;2002;G;2002,14
59762200401,CAPSULE,"BLUE, WHITE",G;2004;G;2004,18
00378644001,CAPSULE,BLUE,MYLAN;6440;MYLAN;6440,23
00074918990,CAPSULE,"BLUE, YELLOW",a;135,22
23635010820,CAPSULE,WHITE,M;HP;CP;10;8,19
43386066024,CAPSULE,PURPLE,Novel;660;300;mg,19
67877014701,CAPSULE,WHITE,30;mg;Novel;123,16
53489064801,CAPSULE,"WHITE, TURQUOISE",MUTUAL;866;MUTUAL;866,16
00781220101,CAPSULE,"GREEN, WHITE",GG;531;GG;531,16
00093550556,CAPSULE,WHITE,TEVA;5505,18
00093733506,CAPSULE,WHITE,TEVA;7335,18
00093406701,CAPSULE,WHITE,TEVA;4067,18
00093767001,CAPSULE,BLUE,TEVA;7670,19
00093208001,CAPSULE,WHITE,TEVA;2080,16
00093733606,CAPSULE,WHITE,TEVA;7336,19
00093767101,CAPSULE,BLUE,TEVA;7671,19
00093207501,CAPSULE,RED,TEVA;8815,22
00093550656,CAPSULE,YELLOW,TEVA;5506,16
00093550756,CAPSULE,RED,TEVA;5507,17
00093744356,CAPSULE,"YELLOW, PINK",TEVA;7443,19
00093744256,CAPSULE,"WHITE, PINK",TEVA;7442,16
00093550456,CAPSULE,ORANGE,TEVA;5504,16
